# id,test_score,train_score,polynomial_degree,regul_rate,nb_iterations
0.000000000000000000e+00,9.440830765719503415e-01,9.841262977856569671e-01,8.370000000000000000e+02,0.000000000000000000e+00,5.200000000000000000e+03
1.000000000000000000e+00,9.440830765719503415e-01,9.841262977856569671e-01,9.610000000000000000e+02,0.000000000000000000e+00,4.900000000000000000e+03
2.000000000000000000e+00,3.875000000000000111e-01,3.846153846153846367e-01,2.594700000000000000e+04,0.000000000000000000e+00,5.000000000000000000e+02
3.000000000000000000e+00,3.875000000000000111e-01,3.846153846153846367e-01,2.979100000000000000e+04,0.000000000000000000e+00,5.000000000000000000e+02
